gene_id	3m_rep1	3m_rep2	3m_rep3	3m_rep4	3m_rep5	3m_RM_rep1	3m_RM_rep2	3m_RM_rep3	3m_RM_rep4	3m_RM_rep5	3m_KO_rep1	3m_KO_rep2	3m_KO_rep3	3m_KO_rep4	3m_KO_rep5	3m_KO_RM_rep1	3m_KO_RM_rep2	3m_KO_RM_rep3	3m_KO_RM_rep4	3m_KO_RM_rep5	9m_rep1	9m_rep2	9m_rep9	9m_rep4	9m_rep5	9m_RM_rep1	9m_RM_rep2	9m_RM_rep9	9m_RM_rep4	9m_RM_rep5	9m_KO_rep1	9m_KO_rep2	9m_KO_rep9	9m_KO_rep4	9m_KO_rep5	9m_KO_RM_rep1	9m_KO_RM_rep2	9m_KO_RM_rep9	9m_KO_RM_rep4	9m_KO_RM_rep5
gene_1	5.10317790378815	5.29562019509049	4.29537176006538	4.55388632464731	5.16897421782505	4.92270380160186	5.24543582761188	5.25106078696095	4.73542227027935	4.91065301648244	0.10694090801897	0.208239996043781	0.129301986547293	0.58644733475558	0.329697637444388	1.88539248430802	1.97246222814192	1.81875875821709	1.73054571402942	1.81883707201226	4.38635611347472	4.10346272252262	4.58829620393053	4.34713198846999	4.67047050204662	4.22400200025768	4.45808243664836	4.56650491513382	5.01970107367888	4.90717096864592	0.381753795048263	0.187915197859259	0.536506369275617	0.152086693134068	0.553299300553475	0.913495606300483	1.06401169756275	1.08520490700752	0.636432085862373	0.820789705626011
gene_2	6.01363117870198	6.19292660971513	4.98144878899077	5.94963602027654	6.01471814945171	6.16861063379967	6.93505814101278	5.8770434574935	5.86967752664923	6.31777426281506	2.94795373854094	2.85013272158382	2.53462834144855	1.61083888741645	2.86583294658417	3.43639386419591	2.6296709464831	3.21750578332275	2.64916216035079	2.90460573603273	7.60831209947452	7.19452460326812	7.83076609422786	7.66395479698732	7.68974483459821	7.45477656184039	7.35890302673303	7.68122022795149	7.99058319096386	7.62864349092066	1.61477607851	1.68229071684545	1.85288744079842	1.47651772617553	1.90915244682378	3.31613775910143	3.69019379455585	3.16774781862441	2.47361328994154	2.6443179509324
gene_3	9.58843907154272	1.75364497485276	8.78748627031298	8.34933514505956	0.939820399897749	9.40583021376178	7.71869460998643	7.72122592756149	1.82484053568116	5.55931182241998	1.71316576042289	9.31911955595706	7.61360748209393	9.02282741101911	8.97357485078295	8.41287410167588	9.45205573468281	7.95461608941442	1.09393934120083	6.76249378825108	0.275828461072113	0	0	3.1900904442768	0	1.14232802681291	1.08860554265581	0.974505486547331	0.474015584004908	0.370385538567142	0	1.62614195019841	0.307187004432544	0.892868788380938	1.7641876483577	0	1.0076477610024	1.49268999723426	0.667358213936101	1.65265856675122
gene_4	6.63767886103823	7.25116292269336	5.06950056328322	6.15881189758992	6.74106082506362	7.25249900179818	8.06421186837262	7.71318735019934	7.867292794084	6.82939252305589	2.8233248928939	2.59590645627595	2.85798216471399	3.39449463443548	3.62386737326507	5.06342753952106	5.70533985779142	5.82673880722505	4.85797220862423	4.91341733064041	5.39816980214993	5.78056525654471	6.10749639393496	5.92872288501027	6.16733204544481	7.76677438084113	7.3290110731389	7.356912584896	6.91863515956109	7.00779920977201	3.44378341439722	2.7272720397921	1.99707985801201	1.95930842891143	1.84832089418128	4.19620901045961	4.25612767079754	4.23539951171619	3.98364054882286	4.37964091243645
gene_5	8.12340104947646	7.71087830435123	7.76008112576151	6.63670483913092	5.06366356834842	7.66774125320829	4.5049241751441	7.92104806053126	7.29349627476964	7.71699396258335	7.05158767222589	5.4165554352126	7.2290091884091	6.4608479237192	5.67872020601882	6.62997878786487	7.46283899680079	7.70564882732854	7.46413662122321	7.32811469721932	5.59006076549078	4.36126859293751	4.87265952038813	4.32896182468469	7.47422980320853	2.70884907126783	2.55522376201738	3.80209281653931	3.03837405918896	2.21957173501861	4.01288547117869	4.50519932907803	3.26150802434872	2.44735117184165	3.5248745847937	2.70561159156603	2.25485182609697	4.40882051115727	2.82056509909415	2.5514912526022
gene_6	6.1766678857946	5.62039982496488	6.14471388067596	4.72207917174442	2.94555313535429	5.89822607262978	2.7665691775964	6.0857733015703	5.80013795962285	6.09356205872438	5.40247453404735	3.74605610962815	5.50318159334843	4.85669215691492	4.08560197096781	5.12555530895775	5.59772328239307	5.7737941273809	5.53556346508698	5.98651603877008	3.44212063586081	2.23298513537601	2.26577219434369	1.62749867816683	5.78585123794478	0.299978530811607	0.897412390878266	2.2308905621683	0.80280023642608	0.641750085890665	2.22212260330194	2.49254843688046	1.65868483515853	0.682799044462671	1.58461001776897	0.784353033425337	0.775449807815394	2.41268164330964	1.08285195472663	0.494749143383106
gene_7	4.70615925340794	4.09766162404734	3.56970650574097	3.46876107324806	2.34498777137511	4.45290751257583	2.19876929647777	4.64893182763484	3.78371234734037	4.68069611157607	3.24263512503085	1.98824265709808	3.59897045957491	2.62132301327344	2.68943174051456	3.3776611678044	3.64787533811487	4.60383064485348	4.48789136652547	4.065806174457	1.97363976916541	1.58332271984794	1.76794554830928	1.8686381462821	3.31319956350001	0.226832254635007	0.906155609723459	1.16839675103259	0.693380331687544	0	1.35703564123331	0.869230569409305	1.09046732397522	0.199984395880274	0.655276071978818	0.0748834446753562	0.251746996153526	0.667464837105085	0.497707868860959	0.264151317348058
gene_8	3.26492947548574	3.52467224810267	3.59322479363364	2.67496499584582	3.54034902511072	2.94180448688012	3.10217629642821	4.22598343726778	3.78782635733017	2.58712323008623	0.670780336761497	1.10045999126942	0.957138547071005	0.871812580431791	0.413389808936199	1.5469543588103	1.43493811520674	1.06187589798496	0.808222525956143	1.00775084669593	3.07820077654931	2.52199698970109	2.7432671386807	1.9791421356686	2.6753925483164	3.10343759074674	3.24272436285975	3.12090113388087	3.61722548644504	2.38112261367776	0.865733281274067	0.088009626021314	0.327286212816517	0.240007907577791	0.177900530809546	0.633051386010574	0.947691702180296	0.503674811615669	0.479355753872628	0.0856589803635334
gene_9	4.97114381227533	4.23032272056448	5.22635267501253	5.04858875025015	4.74265335471898	4.6180242221411	5.03050126357363	4.19389817480272	3.84750131051124	4.4512837361392	0	0.392163692473294	0.841451188706485	3.23845979505799	1.44427277486134	1.97005940365567	2.15334241007111	1.59703405749345	0.507045490054946	1.37220208753444	3.75759917941836	4.98900174806278	4.01741110589662	4.7072517118857	3.77650694496449	4.84278808258625	3.09215864593769	4.15656755507182	2.29209694137222	3.47280513742119	0	1.56450511727132	3.02383771367696	1.80892922280111	2.68845597287347	0.418093044036549	1.32504213525612	1.34942416776362	1.84884260718721	1.53799338892695
gene_10	4.85630969105854	5.73035964377975	5.50986862284625	5.91548179217686	5.3622805526053	4.99723948727144	5.8681331177652	5.54581747586223	6.30348064393303	5.20702012287671	5.86568405563953	4.44179602382396	5.19971930116264	5.6145365314125	5.33893020092732	5.44332578858168	5.18416855759354	5.83007724918267	4.55449296610606	5.22298786803184	2.1040017579573	1.69623032747191	1.76186564159846	4.49659568220844	0.877998923802814	2.14071768456857	1.63168203703396	1.99846878325141	1.88262680457655	2.08855180458441	1.3685871872583	1.5103540723155	1.68245732026357	1.47158901554949	4.37684544366163	1.62580129548587	1.59976248458897	1.50478745674705	1.53879732654648	5.04902956346117
